IP,longitude,latitude,trace,trace_steps,last_router_delay,total_delay
180.221.233.23,135.4787,34.6456,"[{}, {}, {}, {'10.196.90.77': 49.055}, {'10.200.33.102': 49.325}, {'10.200.23.5': 49.325}, {'175.129.17.102': 52.768}, {}, {}, {}, {'210.171.8.206': 52.768}, {'210.171.8.228': 53.88}, {'180.221.233.23': 55.788}]",13,{'210.171.8.228': 53.88},362.909
147.192.177.4,135.542805,34.673236,"[{}, {}, {}, {'10.196.90.73': 44.301}, {'10.200.179.242': 44.301}, {'10.200.23.9': 44.301}, {'120.74.58.202': 49.827}, {'120.74.58.82': 49.827}, {'152.165.186.45': 50.361}, {'147.192.177.4': 50.361}]",10,{'152.165.186.45': 50.572},333.279
60.130.197.41,135.528303,34.669399,"[{}, {}, {}, {'10.196.90.61': 1.393}, {'10.200.179.162': 2.52}, {'103.203.158.97': 41.502}, {'221.111.179.182': 43.628}, {'60.130.197.41': 47.219}]",8,{'221.111.179.182': 43.628},136.262
126.142.237.153,135.554399,34.711499,"[{}, {}, {}, {'10.196.90.85': 1.386}, {'10.200.179.214': 1.482}, {'103.203.158.96': 1.655}, {'221.110.187.114': 41.599}, {'126.142.237.153': 53.933}]",8,{'221.110.187.114': 41.599},100.055
210.153.169.226,135.502759,34.639452,"[{}, {}, {}, {'10.196.90.85': 0.96}, {'10.200.40.30': 0.96}, {'203.131.252.173': 0.96}, {'129.250.2.238': 1.886}, {}, {'129.250.4.232': 46.034}, {'61.200.91.42': 48.136}, {'202.239.117.75': 48.136}, {'210.153.241.86': 48.146}, {'210.139.53.6': 48.576}, {'210.153.169.226': 235.108}]",14,{'210.139.53.6': 48.576},478.902
60.140.149.103,135.4501,34.6846,"[{}, {}, {}, {}, {'10.200.179.206': 1.564}, {'103.203.158.97': 40.775}, {'221.111.179.186': 41.228}, {'60.140.149.103': 46.0}]",8,{'221.111.179.186': 41.228},129.567
60.143.126.220,135.5608,34.7908,"[{}, {}, {}, {'10.196.90.61': 1.281}, {'10.200.179.162': 2.212}, {'103.203.158.96': 2.212}, {'221.111.179.182': 42.251}, {'60.143.126.220': 48.375}]",8,{'221.111.179.182': 42.251},96.331
60.101.124.245,135.5138,34.6694,"[{}, {}, {}, {'10.196.90.81': 1.598}, {'10.200.179.154': 1.598}, {'103.203.158.96': 2.207}, {'221.111.179.186': 41.434}, {'60.101.124.245': 50.073}]",8,{'221.111.179.186': 41.434},96.91
126.34.191.184,135.5221,34.6471,"[{}, {}, {}, {'10.196.90.61': 1.104}, {'10.200.179.194': 1.622}, {'103.203.158.96': 1.885}, {'221.111.179.186': 41.57}, {'126.34.191.184': 45.271}]",8,{'221.111.179.186': 41.57},91.452
126.34.218.232,135.5166,34.6798,"[{}, {}, {}, {'10.196.90.85': 1.244}, {'10.200.179.214': 1.275}, {'103.203.158.97': 40.633}, {'221.111.179.190': 40.633}, {'126.34.218.232': 44.907}]",8,{'221.111.179.190': 40.633},128.692
211.120.186.55,135.509429,34.657038,"[{}, {}, {}, {'10.196.90.89': 44.294}, {'10.200.179.242': 44.294}, {'10.200.23.9': 44.294}, {'175.129.17.98': 49.149}, {}, {}, {}, {'210.171.8.202': 49.149}, {'210.171.8.251': 50.902}, {'211.120.186.55': 54.39}]",13,{'210.171.8.251': 50.902},336.472
60.96.69.82,135.4677,34.4336,"[{}, {}, {}, {'10.196.90.73': 1.253}, {'10.200.180.106': 1.733}, {'103.203.158.96': 1.733}, {'221.110.187.118': 41.385}, {'60.96.69.82': 56.176}]",8,{'221.110.187.118': 41.385},102.28
60.137.129.147,135.4152,34.4783,"[{}, {}, {}, {'10.196.90.61': 1.3}, {'10.200.179.162': 2.083}, {'103.203.158.96': 2.083}, {'221.111.179.186': 41.663}, {'60.137.129.147': 51.999}]",8,{'221.111.179.186': 41.663},99.128
180.221.191.219,135.469225,34.66775,"[{}, {}, {}, {'10.196.90.77': 49.388}, {'10.200.33.102': 49.424}, {'10.200.23.5': 49.424}, {'175.129.17.102': 52.494}, {}, {}, {}, {'210.171.8.202': 52.494}, {'210.171.8.228': 54.216}, {'180.221.191.219': 61.622}]",13,{'210.171.8.228': 54.216},369.062
60.139.174.216,135.480533,34.665566,"[{}, {}, {}, {'10.196.90.65': 1.76}, {'10.200.179.154': 1.76}, {'103.203.158.96': 2.184}, {'221.111.179.178': 42.318}, {'60.139.174.216': 56.723}]",8,{'221.111.179.178': 42.318},104.745
60.145.180.149,135.54675,34.57025,"[{}, {}, {}, {'10.196.90.69': 1.425}, {'10.200.179.206': 1.425}, {'103.203.158.97': 40.899}, {'221.111.179.178': 41.897}, {'60.145.180.149': 46.94}]",8,{'221.111.179.178': 41.897},132.586
133.155.238.129,135.465411,34.672711,"[{}, {}, {}, {'10.196.90.77': 1.221}, {'10.196.95.226': 1.616}, {'203.131.252.149': 1.725}, {'129.250.2.148': 2.181}, {}, {'129.250.5.199': 46.028}, {'61.120.146.178': 49.566}, {'210.171.9.134': 49.566}, {'210.171.9.198': 49.566}, {'219.106.143.186': 49.566}, {'210.171.8.202': 49.566}, {'210.171.8.227': 49.895}, {'133.155.238.129': 49.895}]",16,{'210.171.8.227': 51.806},400.391
60.94.96.246,135.522631,34.655374,"[{}, {}, {}, {'10.196.90.61': 1.366}, {'10.200.179.162': 2.109}, {'103.203.158.97': 41.481}, {'221.110.187.114': 43.675}, {'60.94.96.246': 49.399}]",8,{'221.110.187.114': 43.675},138.03
60.151.242.111,135.54765,34.754951,"[{}, {}, {'30.1.147.37': 0.861}, {'10.196.90.61': 1.195}, {'10.200.179.194': 1.664}, {'103.203.158.97': 41.245}, {'221.111.179.178': 42.255}, {'60.151.242.111': 48.383}]",8,{'221.111.179.178': 42.255},135.603
122.18.144.84,135.509084,34.66965,"[{}, {}, {}, {'10.196.90.89': 0.875}, {'10.200.180.90': 0.998}, {'203.131.252.173': 0.998}, {'129.250.2.236': 2.116}, {}, {'129.250.5.108': 50.806}, {'120.88.53.30': 50.806}, {'122.1.245.205': 50.962}, {'122.1.245.190': 52.156}, {'125.170.96.34': 52.156}, {'153.149.221.10': 52.156}, {'180.37.200.146': 56.1}, {}, {'122.18.144.84': 56.1}]",17,-1,426.229
182.158.158.192,135.50159,34.671192,"[{}, {}, {}, {'10.196.90.89': 1.346}, {'10.200.180.106': 1.774}, {'103.203.158.97': 40.907}, {}, {'143.90.164.17': 50.883}, {'143.90.160.6': 50.974}, {'143.90.46.66': 58.729}, {'143.90.46.118': 58.729}, {'39.3.99.26': 59.043}, {'182.158.158.192': 59.897}]",13,{'39.3.99.26': 59.043},382.282
