IP,last1_router_ip,last1_delay,last2_router_ip,last2_delay_total,last3_router_ip,last3_delay_total,last4_router_ip,last4_delay_total
60.156.229.65,221.111.179.190,3.158999999999999,103.203.158.97,3.158999999999999,10.200.179.154,42.467,10.196.90.81,42.467
126.22.101.59,221.110.187.118,9.706000000000003,103.203.158.96,49.31,10.200.180.98,49.31,10.196.90.73,49.714000000000006
126.220.222.4,221.110.187.126,15.766999999999996,103.203.158.97,15.799999999999997,10.200.179.194,55.234,10.196.90.61,55.727
60.96.27.125,221.110.187.118,14.350000000000001,103.203.158.97,14.901000000000003,10.200.179.162,53.924,10.196.90.77,54.327
222.228.95.220,163.139.120.58,30.48100000000001,163.139.24.202,33.55500000000001,10.200.23.5,38.24600000000001,10.200.33.102,38.24600000000001
126.92.172.72,221.110.187.118,10.082,103.203.158.97,10.706000000000003,10.200.179.214,50.17400000000001,10.196.90.85,50.17400000000001
60.137.239.251,221.111.179.190,6.260999999999996,103.203.158.96,44.882999999999996,10.200.179.194,45.178,10.196.90.61,45.665
60.143.83.13,221.111.179.182,4.773000000000003,103.203.158.97,5.8060000000000045,10.200.180.98,44.580000000000005,10.196.90.73,45.279
60.128.233.112,221.111.179.190,14.526000000000003,103.203.158.97,14.526000000000003,10.200.180.106,53.313,10.196.90.73,53.861
60.151.242.111,221.111.179.178,6.128,103.203.158.97,7.138000000000005,10.200.179.194,46.719,10.196.90.61,47.188
58.188.99.94,58.191.144.238,0.0,61.205.118.6,1.1280000000000001,219.122.245.2,1.5599999999999952,10.200.23.5,7.4069999999999965
60.110.73.63,221.111.179.182,5.310000000000002,103.203.158.97,6.179000000000002,10.200.179.206,45.829,10.196.90.85,45.829
60.93.55.133,221.110.187.122,5.599000000000004,103.203.158.96,44.379,10.200.179.138,44.845,10.196.90.81,44.845
60.109.26.127,221.111.179.190,6.350999999999999,103.203.158.97,6.350999999999999,10.200.179.206,45.371,10.196.90.85,45.492000000000004
126.91.144.113,221.110.187.118,5.079000000000001,103.203.158.96,44.865,10.200.179.206,44.903,10.196.90.69,45.235
60.130.205.98,221.111.179.182,4.091000000000001,103.203.158.97,5.048000000000002,10.200.179.214,44.07,10.196.90.85,44.07
60.107.158.201,221.111.179.190,14.566000000000003,103.203.158.96,53.627,10.200.179.138,54.055,10.196.90.65,54.055
60.107.168.244,221.111.179.190,14.198999999999998,103.203.158.97,14.198999999999998,10.200.179.194,53.282,10.196.90.61,53.864999999999995
60.137.208.221,221.111.179.190,11.988,103.203.158.96,49.471000000000004,10.200.179.214,51.203,10.196.90.85,51.287
126.241.46.194,221.110.187.114,8.787999999999997,103.203.158.96,48.697,10.200.179.162,48.697,10.196.90.61,49.566
60.150.175.136,221.111.179.182,3.280000000000001,103.203.158.97,3.8840000000000003,10.200.180.106,43.071,10.196.90.89,43.674
60.135.141.39,221.111.179.178,4.93,103.203.158.97,5.9979999999999976,10.200.180.106,44.964999999999996,10.196.90.89,45.321999999999996
126.92.9.160,221.110.187.118,5.679000000000002,103.203.158.96,45.234,10.200.180.98,45.234,10.196.90.73,45.771
60.122.16.243,221.110.187.118,13.922999999999995,103.203.158.97,14.479,10.200.179.138,53.232,10.196.90.81,53.296
60.151.15.254,221.111.179.186,10.158999999999999,103.203.158.97,10.732999999999997,10.200.180.98,49.264,10.196.90.73,50.239
122.218.138.181,58.159.218.174,0.0,221.112.15.38,0.23400000000000176,163.139.77.14,0.23400000000000176,10.200.23.5,5.408000000000001
149.54.212.106,210.171.8.228,0.0,210.171.8.206,1.1709999999999994,219.106.143.190,1.1709999999999994,210.171.9.202,1.1709999999999994
60.110.116.12,221.111.179.182,5.0390000000000015,103.203.158.96,45.155,10.200.179.162,45.155,10.196.90.77,45.469
126.23.199.44,221.110.187.118,14.222999999999999,103.203.158.97,14.222999999999999,10.200.179.138,54.358,10.196.90.81,54.358
60.122.119.86,221.110.187.118,19.467999999999996,103.203.158.97,20.299999999999997,10.200.180.98,59.103,10.196.90.89,59.641
126.142.237.153,221.110.187.114,12.334000000000003,103.203.158.96,52.278,10.200.179.214,52.451,10.196.90.85,52.547
126.145.228.81,221.110.187.114,0.0,103.203.158.96,49.846,10.200.179.214,50.323,10.196.90.85,50.385999999999996
126.34.164.95,221.111.179.186,2.3599999999999994,103.203.158.96,41.839,10.200.179.214,42.132,10.196.90.69,42.132
60.130.201.156,221.111.179.182,0.0,103.203.158.96,44.236999999999995,10.200.179.214,44.394999999999996,10.196.90.85,44.681999999999995
60.143.60.222,221.111.179.178,11.765999999999998,103.203.158.96,52.157,10.200.179.154,52.527,10.196.90.65,52.527
202.231.75.157,163.139.116.2,0.44000000000000483,163.139.121.246,3.9920000000000044,10.200.23.5,11.339000000000006,10.200.33.102,11.339000000000006
60.105.111.61,221.111.179.178,6.439999999999998,103.203.158.97,7.577999999999996,10.200.179.138,46.696999999999996,10.196.90.81,46.696999999999996
60.107.158.176,221.111.179.190,3.038000000000004,103.203.158.97,3.038000000000004,10.200.179.194,41.955000000000005,10.196.90.61,42.774
126.92.30.209,221.110.187.118,12.875,103.203.158.96,52.467999999999996,10.200.180.106,52.467999999999996,10.196.90.89,52.907
60.139.174.216,221.111.179.178,14.405000000000001,103.203.158.96,54.539,10.200.179.154,54.963,10.196.90.65,54.963
60.134.114.95,221.111.179.190,14.415999999999997,103.203.158.97,14.415999999999997,10.200.179.214,53.512,10.196.90.85,53.512
60.135.250.106,221.111.179.182,15.097999999999999,103.203.158.97,16.104,10.200.179.194,55.486,10.196.90.77,55.634
60.150.81.194,221.111.179.178,10.243000000000002,103.203.158.97,19.841,10.200.179.154,59.032000000000004,10.196.90.81,59.032000000000004
220.147.110.80,163.139.120.154,5.881,163.139.120.142,5.881,10.200.23.5,10.969999999999999,10.200.33.102,10.969999999999999
133.206.59.192,133.208.184.53,0.5009999999999977,133.208.193.201,0.5009999999999977,133.208.197.73,0.6579999999999941,10.200.23.9,6.174999999999997
60.140.253.88,221.111.179.190,6.342999999999996,103.203.158.97,6.342999999999996,10.200.179.154,45.471,10.196.90.81,45.471
60.139.182.161,221.111.179.178,9.494999999999997,103.203.158.96,49.605,10.200.180.98,49.605,10.196.90.89,49.952999999999996
60.151.201.184,221.111.179.178,4.512999999999998,103.203.158.97,6.1129999999999995,10.200.179.206,44.675999999999995,10.196.90.69,45.192
60.156.231.185,221.111.179.190,10.747,103.203.158.97,15.098999999999997,10.200.179.162,54.006,10.196.90.77,54.498999999999995
60.153.158.201,221.111.179.178,15.329999999999998,103.203.158.96,55.49,10.200.180.98,55.49,10.196.90.89,55.778
160.86.231.110,152.165.186.115,0.2079999999999984,110.66.181.242,1.5259999999999962,120.74.58.202,1.9059999999999988,10.200.23.5,5.241999999999997
60.110.108.175,221.111.179.182,12.762999999999998,103.203.158.96,52.789,10.200.179.214,53.022999999999996,10.196.90.69,53.336999999999996
60.151.201.109,221.111.179.178,13.086999999999996,103.203.158.96,53.56699999999999,10.200.180.98,53.56699999999999,10.196.90.89,53.75599999999999
60.107.245.99,221.111.179.178,8.453000000000003,103.203.158.96,48.598,10.200.179.162,48.598,10.196.90.77,49.034
126.241.4.187,221.110.187.114,10.066000000000003,103.203.158.97,11.027000000000001,10.200.180.98,50.041000000000004,10.196.90.89,50.446
126.119.137.190,221.110.211.6,3.4780000000000015,-1,-1,103.203.158.96,43.427,10.200.179.138,43.427
126.145.200.54,221.110.187.114,4.948,103.203.158.97,5.762999999999998,10.200.179.214,44.604,10.196.90.69,45.264
126.220.56.180,221.110.187.126,5.712000000000003,103.203.158.97,9.730000000000004,10.200.179.154,49.11,10.196.90.81,49.11
60.105.67.195,221.111.179.178,7.265000000000001,103.203.158.96,47.245,10.200.179.194,47.245,10.196.90.61,48.307
60.122.84.25,221.110.187.118,9.503999999999998,103.203.158.97,10.067999999999998,10.200.179.194,45.483999999999995,10.196.90.61,49.992
60.122.84.45,221.110.187.118,12.958999999999996,103.203.158.96,52.905,10.200.180.106,52.905,10.196.90.89,53.260999999999996
60.137.131.66,221.111.179.186,0.0,103.203.158.97,2.8569999999999993,10.200.180.106,41.884,10.196.90.73,42.403
160.86.247.55,152.165.176.119,5.656000000000006,120.74.58.82,173.372,120.74.58.202,173.553,10.200.23.9,178.687
60.142.214.198,221.111.179.190,7.428000000000004,103.203.158.97,7.428000000000004,10.200.180.106,46.18000000000001,10.196.90.89,46.593
126.142.118.40,221.110.187.114,6.591000000000001,103.203.158.97,7.475000000000001,10.200.179.214,46.74,10.196.90.69,46.791000000000004
60.96.76.145,221.110.187.118,1.5649999999999977,103.203.158.97,4.597999999999999,10.200.180.106,43.503,10.196.90.89,44.104
60.105.144.144,221.111.179.182,2.1129999999999995,103.203.158.97,9.055,10.200.179.206,49.503,10.196.90.69,49.583
126.145.222.177,221.110.187.114,13.806999999999995,103.203.158.97,14.692999999999998,10.200.179.194,53.818999999999996,10.196.90.61,54.08
126.207.8.196,221.110.187.126,12.496000000000002,103.203.158.96,51.573,10.200.179.194,51.752,10.196.90.61,52.447
60.94.106.92,221.110.187.114,15.673000000000002,103.203.158.96,55.588,10.200.179.206,55.733000000000004,10.196.90.85,55.792
60.96.69.82,221.110.187.118,14.791000000000004,103.203.158.96,54.443000000000005,10.200.180.106,54.443000000000005,10.196.90.73,54.923
60.96.95.226,221.110.187.118,6.384,103.203.158.96,46.212,10.200.180.98,46.305,10.196.90.89,46.468
60.94.96.246,221.110.187.114,5.724000000000004,103.203.158.97,7.917999999999999,10.200.179.162,47.29,10.196.90.61,48.033
60.83.71.196,221.111.179.186,13.425999999999995,103.203.158.97,14.070999999999998,10.200.179.162,53.192,10.196.90.77,53.605
60.141.174.202,221.111.179.186,0.0,103.203.158.97,11.103000000000002,10.200.179.194,50.656,10.196.90.77,50.656
147.192.177.4,152.165.186.45,0.0,120.74.58.82,0.5339999999999989,120.74.58.202,0.5339999999999989,10.200.23.9,6.059999999999995
183.76.187.82,202.224.52.177,25.455000000000005,202.224.51.38,25.455000000000005,10.200.23.5,31.155,10.200.33.102,31.155
126.23.224.115,221.110.187.118,7.481000000000002,103.203.158.96,47.016000000000005,10.200.179.194,47.314,10.196.90.77,47.503
60.134.114.131,221.111.179.190,9.515999999999998,103.203.158.96,48.31,10.200.179.194,48.31,10.196.90.61,49.121
126.91.244.111,221.110.187.118,9.82,103.203.158.96,49.621,10.200.179.138,49.907,10.196.90.65,49.907
126.145.123.183,221.110.187.114,5.520000000000003,103.203.158.96,45.384,10.200.179.162,45.391,10.196.90.61,46.308
60.149.36.227,221.111.179.186,10.722999999999999,103.203.158.96,50.309,10.200.179.206,50.417,10.196.90.69,50.71
126.34.164.9,221.111.179.186,5.376999999999995,103.203.158.96,44.925,10.200.179.162,44.95099999999999,10.196.90.77,45.306
60.94.95.236,221.110.187.114,6.841000000000001,103.203.158.96,49.183,10.200.180.106,49.338,10.196.90.73,49.443000000000005
126.91.35.128,221.110.187.118,12.448999999999998,103.203.158.96,52.165,10.200.179.162,52.165,10.196.90.61,52.992999999999995
60.106.179.195,221.111.179.186,10.597999999999999,103.203.158.96,48.926,10.200.179.194,50.433,10.196.90.61,50.943
126.207.61.204,221.110.187.126,12.692999999999998,103.203.158.97,12.734000000000002,10.200.179.214,52.305,10.196.90.85,52.305
126.23.224.211,221.110.187.118,14.116,103.203.158.97,14.691000000000003,10.200.179.206,53.868,10.196.90.85,53.903
60.122.100.130,221.110.187.118,11.543,103.203.158.97,12.204999999999998,10.200.179.162,51.339,10.196.90.61,52.177
60.150.126.35,221.111.179.178,18.779999999999994,103.203.158.96,58.879999999999995,10.200.179.194,58.952999999999996,10.196.90.77,59.312999999999995
126.23.211.220,221.110.187.118,6.132000000000005,103.203.158.97,6.132000000000005,10.200.180.98,45.811,10.196.90.73,46.299
220.147.128.18,163.139.116.2,0.0,163.139.121.246,0.0,10.200.23.5,6.600000000000001,10.200.33.102,6.600000000000001
60.128.103.65,221.110.187.118,9.918,103.203.158.97,10.429000000000002,10.200.180.98,49.388,10.196.90.73,49.974
126.34.191.226,221.111.179.186,3.496000000000002,103.203.158.97,3.987000000000002,10.200.179.214,43.307,10.196.90.69,43.458
60.135.211.86,221.111.179.182,11.010000000000005,103.203.158.97,11.952000000000005,10.200.179.194,51.352000000000004,10.196.90.77,51.442
220.247.29.113,163.139.120.58,41.013999999999996,163.139.24.202,44.059999999999995,10.200.23.9,51.17399999999999,10.200.179.242,51.17399999999999
60.156.231.143,221.111.179.190,1.875,103.203.158.96,42.818,10.200.179.194,42.900999999999996,10.196.90.61,43.717
126.142.239.12,221.110.187.114,10.272999999999996,103.203.158.96,50.274,10.200.180.98,50.274,10.196.90.73,50.707
126.34.251.61,221.111.179.190,15.024999999999999,103.203.158.96,53.805,10.200.179.162,53.805,10.196.90.61,54.708999999999996
126.207.156.174,221.110.187.126,6.617000000000004,103.203.158.96,45.724000000000004,10.200.179.206,45.882,10.196.90.85,45.952
118.236.65.156,152.165.177.13,100.10799999999999,120.74.58.150,109.73499999999999,120.74.58.218,112.36999999999998,10.200.23.5,116.26799999999999
126.142.87.253,221.110.187.114,3.9609999999999985,103.203.158.96,44.219,10.200.179.194,44.468,10.196.90.77,44.617000000000004
126.22.27.130,221.110.187.118,10.133000000000003,103.203.158.96,49.942,10.200.180.106,49.942,10.196.90.73,50.446
60.106.135.223,221.111.179.186,8.908000000000001,103.203.158.96,48.487,10.200.179.154,48.722,10.196.90.65,48.722
126.22.65.161,221.110.187.118,3.7990000000000066,103.203.158.96,43.61000000000001,10.200.179.154,43.74400000000001,10.196.90.81,43.74400000000001
126.207.78.79,221.110.187.126,3.3770000000000024,103.203.158.96,42.416,10.200.179.194,42.546,10.196.90.77,42.666000000000004
126.142.97.41,221.110.187.114,13.048000000000002,103.203.158.97,14.07,10.200.180.98,53.021,10.196.90.89,53.464999999999996
223.132.132.76,110.67.171.186,5.029999999999994,59.146.111.78,7.811999999999998,202.213.193.57,13.565999999999995,10.200.23.5,15.868999999999993
126.219.32.140,221.110.187.126,8.087000000000003,103.203.158.96,47.113,10.200.180.106,47.113,10.196.90.89,47.539
126.241.30.238,221.110.187.114,5.256999999999998,103.203.158.96,45.121,10.200.180.106,45.121,10.196.90.89,45.517
126.153.200.136,221.110.187.122,3.564,103.203.158.97,3.564,10.200.180.98,42.426,10.196.90.73,42.888000000000005
60.151.115.229,221.111.179.190,11.079,103.203.158.96,50.327999999999996,10.200.179.138,50.599,10.196.90.65,50.599
60.94.243.224,221.110.187.114,6.417000000000002,103.203.158.96,46.422,10.200.179.194,46.601,10.196.90.77,46.63
60.139.46.251,221.111.179.178,3.136000000000003,103.203.158.97,4.146000000000001,10.200.180.98,43.371,10.196.90.73,43.755
126.60.196.42,221.110.193.30,2.3230000000000004,-1,-1,103.203.158.96,42.291000000000004,10.200.179.214,42.358000000000004
126.241.91.218,221.110.187.114,4.375999999999998,103.203.158.97,5.292999999999999,10.200.179.194,44.647999999999996,10.196.90.77,44.888
126.145.16.178,221.110.187.114,10.401000000000003,103.203.158.97,11.357,10.200.180.106,50.274,10.196.90.73,50.957
60.137.133.166,221.111.179.186,12.030000000000001,103.203.158.96,52.604,10.200.179.138,52.848,10.196.90.65,52.848
126.34.156.37,221.111.179.186,5.133000000000003,103.203.158.96,45.331,10.200.179.162,45.331,10.196.90.77,45.724000000000004
60.130.205.229,221.111.179.182,3.5350000000000037,103.203.158.96,44.182,10.200.179.194,44.525000000000006,10.196.90.61,45.03
126.142.71.196,221.110.187.114,1.5,103.203.158.96,56.443000000000005,10.200.179.214,56.716,10.196.90.85,56.716
