IP,longitude,latitude,trace,trace_steps,last_router_delay,total_delay
118.176.192.25,126.910912,37.559517,"[{'30.77.136.193': 0.636}, {'30.77.184.68': 0.745}, {'30.1.147.109': 0.943}, {'10.196.90.73': 0.963}, {'10.200.180.90': 1.332}, {'218.189.31.157': 1.748}, {'218.189.5.58': 2.176}, {}, {'139.150.100.82': 52.219}, {}, {}, {}, {'118.176.192.25': 84.713}]",13,-1,145.475
58.140.99.98,127.027905,37.493048,"[{}, {}, {'30.1.147.37': 0.801}, {'10.196.90.61': 1.377}, {'10.196.95.226': 1.995}, {'63.218.56.141': 2.226}, {'63.218.148.82': 37.387}, {'63.216.140.234': 37.387}, {'211.239.201.154': 37.387}, {'111.118.20.34': 37.387}, {'111.118.20.42': 37.387}, {}, {'58.140.97.162': 37.387}, {'58.140.99.98': 37.387}]",14,{'58.140.97.162': 45.584},268.108
121.134.47.131,127.027908,37.527586,"[{}, {'30.77.183.196': 0.947}, {}, {'10.196.90.73': 36.854}, {'10.200.179.242': 36.854}, {'10.200.11.66': 36.854}, {'59.18.62.106': 36.981}, {}, {}, {'112.174.104.62': 40.886}, {'112.189.31.66': 40.886}, {'112.189.50.62': 46.836}, {'121.134.47.131': 48.052}]",13,{'112.189.50.62': 46.836},325.15000000000003
14.52.81.159,127.003044,37.50875,"[{}, {'30.77.183.74': 0.8}, {}, {'10.196.90.89': 36.864}, {'10.200.179.242': 36.864}, {'10.200.11.66': 36.864}, {'59.18.62.106': 36.888}, {}, {}, {'112.174.104.62': 40.088}, {'112.189.28.78': 40.088}, {'112.189.52.58': 40.088}, {'14.52.81.159': 40.088}]",13,{'112.189.52.58': 46.941},308.632
121.161.130.90,127.064122,37.540972,"[{}, {'30.77.183.202': 0.883}, {'30.1.147.73': 1.086}, {'10.196.90.73': 36.827}, {'10.200.179.242': 36.827}, {'10.200.11.66': 36.827}, {'59.18.62.106': 36.827}, {}, {}, {'112.174.70.74': 40.379}, {}, {'112.188.46.118': 40.379}, {'121.161.130.90': 41.717}]",13,{'112.188.46.118': 40.379},271.75199999999995
121.160.2.6,127.0017,37.60095,"[{'30.77.136.225': 0.758}, {}, {'30.1.148.13': 0.928}, {'10.196.90.89': 36.774}, {'10.200.179.242': 36.774}, {'10.200.11.66': 36.774}, {'59.18.62.106': 36.898}, {}, {}, {}, {}, {'112.188.5.14': 40.108}, {'121.160.2.6': 40.108}]",13,{'112.188.5.14': 41.72},229.122
14.36.16.29,126.900497,37.460098,"[{}, {'30.77.183.76': 0.888}, {'30.1.147.37': 0.929}, {'10.196.90.73': 36.891}, {'10.200.179.242': 36.891}, {'10.200.11.66': 36.891}, {'59.18.62.106': 36.979}, {}, {}, {'112.174.104.194': 41.813}, {}, {}, {'14.36.16.29': 41.813}]",13,-1,233.095
211.201.201.87,126.859151,37.5077,"[{'30.77.136.193': 0.709}, {}, {'30.1.147.197': 0.84}, {'10.196.90.89': 36.698}, {'10.200.179.242': 36.698}, {'10.200.11.66': 36.698}, {'110.9.3.199': 36.698}, {}, {}, {}, {'10.222.24.109': 37.911}, {'10.44.255.147': 37.911}, {'100.71.7.86': 37.911}, {'211.201.201.87': 37.911}]",14,{'100.71.7.86': 41.236},299.985
220.75.248.221,127.025399,37.505401,"[{}, {}, {'30.1.147.73': 0.968}, {'10.196.90.73': 36.883}, {'10.200.179.242': 36.929}, {'10.200.11.66': 36.929}, {'59.18.62.106': 37.36}, {}, {}, {'112.174.58.50': 41.778}, {'112.189.29.70': 41.904}, {'112.189.50.146': 41.904}, {'220.75.248.221': 48.02}]",13,{'112.189.50.146': 41.904},322.675
211.104.122.23,127.100443,37.52014,"[{}, {'30.77.183.70': 0.872}, {'30.1.147.37': 0.872}, {'10.196.90.73': 36.855}, {'10.200.179.242': 36.855}, {'10.200.11.66': 36.855}, {'59.18.62.106': 36.877}, {}, {}, {'112.174.120.70': 39.168}, {}, {'112.189.7.14': 39.168}, {'211.104.122.23': 47.728}]",13,{'112.189.7.14': 39.168},275.25
180.233.210.46,126.913326,37.510024,"[{}, {'30.77.183.192': 0.564}, {}, {'10.196.90.77': 1.12}, {'10.196.95.226': 1.608}, {'203.131.252.149': 1.608}, {'129.250.2.148': 2.176}, {}, {'129.250.5.108': 52.856}, {'61.213.179.166': 69.574}, {'211.242.42.17': 84.748}, {'211.242.42.18': 84.748}, {'211.61.160.22': 84.748}, {}, {'180.233.210.46': 85.057}]",15,-1,468.807
14.32.220.149,127.012807,37.486076,"[{}, {'30.77.183.68': 0.603}, {}, {'10.196.90.89': 36.736}, {'10.200.179.242': 36.736}, {'10.200.11.66': 36.736}, {'59.18.62.106': 36.918}, {}, {}, {'112.174.104.62': 38.417}, {'112.189.32.82': 38.417}, {'112.189.33.18': 39.436}, {'14.32.220.149': 39.436}]",13,{'112.189.33.18': 41.481},303.43499999999995
221.151.189.55,127.017765,37.489488,"[{}, {}, {'30.1.147.73': 0.85}, {'10.196.90.73': 36.716}, {'10.200.179.242': 36.726}, {'10.200.11.66': 36.726}, {'59.18.62.106': 36.851}, {}, {}, {'112.174.15.130': 39.11}, {}, {'112.189.62.90': 39.11}, {'221.151.189.55': 39.54}]",13,{'112.189.62.90': 39.11},265.629
222.111.40.219,127.027325,37.639561,"[{}, {}, {'30.1.147.73': 1.167}, {'10.196.90.73': 36.847}, {'10.200.179.242': 36.847}, {'10.200.11.66': 36.847}, {'59.18.62.106': 37.018}, {}, {}, {'112.174.57.158': 39.497}, {}, {'112.188.24.50': 39.497}, {'222.111.40.219': 39.497}]",13,{'112.188.24.50': 42.545},267.21700000000004
211.46.42.37,127.089409,37.536236,"[{'30.77.136.193': 0.621}, {}, {}, {'10.196.90.73': 36.794}, {'10.200.179.242': 36.997}, {'10.200.11.66': 36.997}, {'59.18.62.106': 41.661}, {}, {}, {'112.174.57.146': 41.661}, {}, {'112.188.47.194': 42.815}, {'211.46.42.37': 42.815}]",13,{'112.188.47.194': 47.348},280.361
