IP,longitude,latitude,trace,trace_steps,last_router_delay,total_delay
125.129.56.48,127.067645,37.545006,"[{}, {}, {}, {'10.196.90.73': 36.856}, {'10.200.179.242': 36.856}, {'10.200.11.66': 36.856}, {'59.18.62.106': 37.053}, {}, {}, {'112.174.70.74': 39.433}, {}, {'112.188.45.114': 39.433}, {'125.129.56.48': 42.603}]",13,{'112.188.45.114': 39.433},269.09
211.47.114.24,126.935656,37.492974,"[{}, {}, {}, {'10.196.90.61': 1.378}, {'10.196.95.226': 1.952}, {'203.131.252.149': 1.952}, {'129.250.4.125': 1.952}, {'129.250.4.126': 1.952}, {'129.250.8.169': 2.433}, {'112.174.80.157': 45.69}, {'112.174.86.97': 45.69}, {'112.174.94.86': 45.69}, {'203.234.255.202': 45.894}, {'111.118.20.254': 45.894}, {'111.118.20.250': 45.894}, {'120.50.76.242': 46.494}, {'27.35.48.158': 46.494}, {'211.47.114.24': 46.494}]",18,{'27.35.48.158': 55.384},425.85300000000007
58.230.143.165,127.069186,37.654038,"[{}, {}, {}, {'10.196.90.73': 36.549}, {'10.200.179.242': 36.549}, {'10.200.11.66': 36.549}, {'110.9.3.199': 36.549}, {}, {}, {}, {'10.222.36.9': 41.232}, {}, {}, {'58.230.143.165': 41.702}]",14,-1,229.13
180.65.164.5,127.020889,37.625025,"[{}, {}, {}, {'10.196.90.73': 36.889}, {'10.200.179.242': 37.006}, {}, {'110.9.3.199': 37.006}, {}, {}, {}, {'10.222.36.9': 38.297}, {}, {}, {'100.79.212.138': 38.297}, {'180.65.164.5': 38.297}]",15,{'100.79.212.138': 43.494},225.792
61.253.226.219,126.906761,37.609734,"[{}, {}, {}, {'10.196.90.89': 36.865}, {'10.200.179.242': 37.022}, {}, {'110.9.3.199': 37.022}, {}, {}, {}, {'10.222.20.105': 37.912}, {'10.47.254.79': 37.912}, {'100.75.94.138': 44.406}, {}, {'61.253.226.219': 44.41}]",15,-1,275.549
211.177.47.206,126.834144,37.56018,"[{}, {}, {}, {'10.196.90.73': 36.862}, {'10.200.179.242': 36.862}, {'10.200.11.66': 36.862}, {'110.9.3.199': 36.943}, {}, {'10.222.20.6': 38.563}, {}, {}, {'10.44.255.199': 38.563}, {}, {'211.177.47.206': 42.762}]",14,-1,267.417
211.201.121.168,127.018613,37.59044,"[{}, {}, {}, {'10.196.90.73': 36.827}, {'10.200.179.242': 36.963}, {}, {'110.9.3.199': 36.963}, {}, {}, {}, {}, {'10.45.251.251': 38.555}, {'10.45.253.79': 38.668}, {}, {}, {'211.201.121.168': 38.668}]",16,-1,226.644
220.71.55.124,126.938494,37.556438,"[{}, {}, {}, {'10.196.90.73': 36.705}, {'10.200.179.242': 36.705}, {'10.200.11.66': 36.705}, {'59.18.62.106': 36.705}, {}, {}, {'112.174.56.126': 45.492}, {}, {}, {'220.71.55.124': 46.809}]",13,-1,239.121
211.202.102.57,126.902184,37.462977,"[{}, {}, {}, {'10.196.90.73': 36.566}, {'10.200.179.242': 36.566}, {}, {'110.9.3.199': 36.566}, {}, {}, {}, {'10.222.23.53': 37.925}, {}, {}, {'211.202.102.57': 43.036}]",14,-1,190.659
211.244.64.213,127.104873,37.518722,"[{}, {}, {}, {'10.196.90.73': 36.675}, {'10.200.179.242': 36.675}, {}, {'110.9.3.199': 36.675}, {}, {'10.222.20.6': 38.655}, {}, {'10.222.35.31': 38.655}, {}, {}, {'211.244.64.213': 40.797}]",14,-1,228.132
