IP,last1_router_ip,last1_delay,last2_router_ip,last2_delay_total,last3_router_ip,last3_delay_total,last4_router_ip,last4_delay_total
118.176.192.25,-1,-1,-1,-1,-1,-1,139.150.100.82,32.49399999999999
58.140.99.98,58.140.97.162,0.0,-1,-1,111.118.20.42,0.0,111.118.20.34,0.0
121.134.47.131,112.189.50.62,1.216000000000001,112.189.31.66,7.165999999999997,112.174.104.62,7.165999999999997,-1,-1
14.52.81.159,112.189.52.58,0.0,112.189.28.78,0.0,112.174.104.62,0.0,-1,-1
121.161.130.90,112.188.46.118,1.338000000000001,-1,-1,112.174.70.74,1.338000000000001,-1,-1
121.160.2.6,112.188.5.14,0.0,-1,-1,-1,-1,-1,-1
14.36.16.29,-1,-1,-1,-1,112.174.104.194,0.0,-1,-1
211.201.201.87,100.71.7.86,0.0,10.44.255.147,0.0,10.222.24.109,0.0,-1,-1
220.75.248.221,112.189.50.146,6.116,112.189.29.70,6.116,112.174.58.50,6.242000000000004,-1,-1
211.104.122.23,112.189.7.14,8.560000000000002,-1,-1,112.174.120.70,8.560000000000002,-1,-1
180.233.210.46,-1,-1,211.61.160.22,0.3089999999999975,211.242.42.18,0.3089999999999975,211.242.42.17,0.3089999999999975
14.32.220.149,112.189.33.18,0.0,112.189.32.82,1.0189999999999984,112.174.104.62,1.0189999999999984,-1,-1
221.151.189.55,112.189.62.90,0.4299999999999997,-1,-1,112.174.15.130,0.4299999999999997,-1,-1
222.111.40.219,112.188.24.50,0.0,-1,-1,112.174.57.158,0.0,-1,-1
211.46.42.37,112.188.47.194,0.0,-1,-1,112.174.57.146,1.1539999999999964,-1,-1
14.63.35.212,112.189.53.210,0.0,112.189.32.74,3.3029999999999973,112.174.58.54,3.3029999999999973,-1,-1
125.129.85.214,112.188.47.122,5.473999999999997,-1,-1,112.174.57.142,6.133000000000003,-1,-1
220.93.124.152,112.190.47.150,1.4200000000000017,-1,-1,112.174.104.202,1.7110000000000056,-1,-1
222.110.233.129,112.188.58.62,9.14,-1,-1,112.174.56.30,9.14,-1,-1
121.141.46.122,112.190.20.138,5.931999999999995,-1,-1,112.174.56.154,5.931999999999995,-1,-1
121.133.77.109,-1,-1,112.189.28.82,3.655000000000001,112.174.104.90,3.655000000000001,-1,-1
112.169.116.47,-1,-1,112.189.29.146,1.1340000000000003,112.174.120.66,1.1340000000000003,-1,-1
175.208.200.194,112.189.42.34,0.0,112.189.32.78,0.0,112.174.15.138,1.618000000000002,-1,-1
220.116.106.248,112.188.26.86,0.5320000000000036,-1,-1,112.174.57.158,0.5320000000000036,-1,-1
121.162.96.244,-1,-1,-1,-1,112.174.56.22,12.988999999999997,-1,-1
61.74.85.6,112.189.62.102,5.884999999999998,112.189.29.154,6.018000000000001,112.174.120.82,6.018000000000001,-1,-1
222.108.241.128,112.190.19.142,1.1310000000000002,-1,-1,112.174.56.54,6.418999999999997,-1,-1
210.179.209.156,112.188.47.62,2.798000000000002,-1,-1,112.174.70.102,2.798000000000002,-1,-1
122.101.105.238,157.197.86.146,0.39700000000000557,157.197.80.1,0.4059999999999988,157.197.80.189,0.4059999999999988,157.197.66.45,0.5190000000000055
125.129.0.125,112.188.46.6,0.18900000000000006,-1,-1,112.174.56.210,0.18900000000000006,-1,-1
