IP,longitude,latitude,trace,trace_steps,last_router_delay,total_delay
116.237.44.101,121.767415,31.1046,"[{'30.77.136.193': 0.87}, {}, {}, {'10.196.90.69': 1.023}, {'10.200.179.206': 1.023}, {'183.91.43.9': 1.023}, {'202.97.116.45': 23.806}, {'202.97.85.197': 25.781}, {}, {'101.95.120.41': 25.781}, {'101.95.92.232': 27.416}, {'116.237.44.101': 27.416}]",12,{'101.95.92.232': 28.874},134.13899999999998
180.166.139.214,121.465593,31.253753,"[{}, {}, {'30.1.148.13': 0.895}, {'10.196.90.85': 1.224}, {'10.196.95.194': 1.224}, {'203.215.232.193': 1.565}, {'59.43.244.225': 3.672}, {'59.43.188.229': 25.142}, {'59.43.39.141': 25.142}, {'59.43.159.17': 25.142}, {'101.95.89.81': 25.142}, {'61.172.93.246': 25.142}, {}, {'58.40.145.205': 25.142}, {'180.166.139.214': 28.169}]",15,{'58.40.145.205': 25.142},187.601
61.152.163.14,121.370737,31.12597,"[{}, {'30.77.184.202': 0.772}, {'30.1.148.33': 0.841}, {'10.196.90.85': 1.329}, {'10.196.95.194': 1.329}, {'203.215.232.193': 1.716}, {'202.97.111.61': 24.509}, {}, {'202.97.57.158': 27.797}, {'101.95.88.109': 28.628}, {'101.95.89.54': 28.628}, {'61.129.146.186': 28.628}, {'61.152.163.13': 28.628}, {'61.152.163.14': 32.938}]",14,{'61.152.163.13': 28.628},205.743
180.158.24.236,121.416401,31.136166,"[{}, {'30.77.184.78': 0.549}, {}, {'10.196.90.69': 1.288}, {'10.196.95.194': 1.288}, {'203.215.232.193': 1.587}, {'202.97.6.5': 24.423}, {'202.97.12.185': 24.427}, {'202.97.57.26': 26.945}, {}, {'101.95.92.172': 26.945}, {'180.158.24.236': 28.824}]",12,{'101.95.92.172': 26.945},136.276
117.131.91.242,121.503377,31.379114,"[{'30.77.136.225': 0.735}, {}, {}, {'10.196.90.77': 1.011}, {'11.48.233.63': 1.011}, {'11.48.233.63': 1.011}, {'223.121.2.89': 2.563}, {'223.120.22.65': 2.812}, {'223.120.3.198': 31.545}, {'221.183.89.182': 31.723}, {'221.183.89.69': 32.287}, {'221.183.89.50': 33.432}, {}, {}, {'117.135.43.138': 35.788}, {'117.131.91.242': 37.986}]",16,{'117.135.43.138': 35.788},211.904
183.195.196.17,121.277315,31.038302,"[{'30.77.136.225': 0.679}, {}, {'30.1.147.233': 0.946}, {'10.196.90.77': 0.946}, {'11.50.201.54': 0.946}, {'11.50.201.54': 0.946}, {'223.121.3.29': 1.776}, {'223.120.3.205': 2.81}, {}, {'221.183.89.170': 31.689}, {}, {}, {'221.183.144.82': 34.704}, {'183.195.196.17': 35.281}]",14,{'221.183.144.82': 34.704},110.723
116.237.217.22,121.577845,31.121675,"[{}, {'30.77.183.78': 0.727}, {}, {'10.196.90.77': 1.052}, {'10.196.95.182': 1.052}, {'203.215.232.193': 1.475}, {}, {'202.97.12.209': 22.8}, {'202.97.62.97': 22.8}, {'61.172.75.13': 25.088}, {'101.95.92.170': 25.088}, {'116.237.217.22': 26.462}]",12,{'101.95.92.170': 25.088},126.544
180.161.227.25,121.463977,30.946809,"[{}, {'30.77.184.68': 0.804}, {}, {'10.196.90.65': 1.495}, {'10.200.179.138': 1.495}, {'183.91.43.9': 1.495}, {'202.97.116.45': 23.918}, {'202.97.39.178': 25.917}, {}, {'61.152.25.89': 27.346}, {}, {'124.74.210.54': 27.346}, {'101.95.36.14': 29.332}, {'180.161.227.25': 29.332}]",14,{'101.95.36.14': 100.209},168.48
117.185.90.218,121.198374,31.007399,"[{}, {}, {'30.1.147.109': 0.851}, {'10.196.90.61': 1.492}, {'11.48.233.63': 1.492}, {'11.48.233.61': 1.492}, {'223.121.2.89': 2.806}, {'223.120.22.65': 3.257}, {'223.120.22.118': 28.974}, {'221.183.89.182': 29.948}, {'221.183.89.69': 30.58}, {'221.183.89.46': 32.207}, {}, {'117.135.41.114': 33.684}, {'117.185.90.218': 36.04}]",15,{'117.135.41.114': 33.684},202.823
101.230.223.26,121.532973,31.286705,"[{}, {}, {'30.1.147.197': 0.837}, {'10.196.90.85': 1.359}, {'10.196.95.194': 1.359}, {'203.215.232.193': 1.673}, {'59.43.244.225': 3.466}, {'59.43.188.229': 25.254}, {'59.43.39.237': 25.884}, {}, {'101.95.89.73': 25.884}, {'101.95.89.66': 25.884}, {'222.72.238.182': 25.884}, {'101.95.104.5': 31.583}, {'101.230.223.26': 31.583}]",15,{'101.95.104.5': 33.702},200.65
117.186.161.150,121.49677,31.267295,"[{}, {'30.77.184.194': 0.768}, {}, {'10.196.90.65': 1.497}, {'11.48.233.58': 1.497}, {'11.48.233.58': 1.497}, {'223.121.2.89': 2.514}, {'223.120.22.65': 3.483}, {'223.120.22.114': 28.851}, {'221.183.89.182': 29.859}, {'221.183.89.69': 30.472}, {'221.183.89.50': 32.436}, {'221.183.144.86': 33.132}, {'183.194.120.153': 33.132}, {'120.204.37.2': 33.704}, {'117.186.161.150': 33.704}]",16,{'120.204.37.2': 34.771},266.54600000000005
114.85.112.199,121.239152,31.108524,"[{}, {}, {}, {'10.196.90.61': 1.194}, {'10.200.179.162': 1.363}, {'183.91.43.9': 1.363}, {'202.97.116.49': 21.87}, {'202.97.12.181': 21.87}, {'202.97.57.26': 23.692}, {'61.152.24.81': 27.193}, {'61.152.9.254': 27.193}, {'114.85.112.199': 27.842}]",12,{'61.152.9.254': 27.193},153.57999999999998
120.253.184.42,121.329193,31.247142,"[{'30.77.136.225': 0.829}, {}, {}, {'10.196.90.61': 1.25}, {'11.50.201.50': 1.25}, {'11.50.201.54': 1.25}, {'223.121.3.29': 1.887}, {'223.120.3.205': 3.012}, {'223.120.3.174': 30.892}, {'221.183.89.170': 31.669}, {'221.183.89.33': 31.669}, {}, {}, {'117.135.49.78': 36.962}, {'120.253.184.42': 39.189}]",15,{'117.135.49.78': 36.962},179.859
101.94.245.82,121.195226,31.059442,"[{}, {}, {'30.1.148.13': 0.959}, {'10.196.90.89': 1.271}, {'10.196.95.186': 1.271}, {'203.215.232.193': 1.518}, {}, {}, {'202.97.83.90': 26.898}, {'101.95.120.101': 26.898}, {'101.95.42.234': 28.131}, {'61.152.21.134': 28.131}, {'101.94.245.82': 28.509}]",13,{'61.152.21.134': 28.131},143.586
180.166.230.154,121.274699,31.374728,"[{}, {}, {'30.1.147.109': 1.329}, {'10.196.90.73': 1.329}, {'10.196.95.186': 1.329}, {'203.215.232.193': 1.756}, {'59.43.244.225': 3.239}, {}, {}, {'59.43.22.5': 25.917}, {'101.95.89.33': 25.917}, {'101.95.89.42': 28.177}, {'61.129.146.94': 30.326}, {'180.166.230.153': 30.326}, {'180.166.230.154': 32.548}]",15,{'180.166.230.153': 30.326},182.193
116.232.0.50,121.802353,30.868125,"[{}, {'30.77.184.70': 0.736}, {}, {'10.196.90.73': 1.182}, {'10.196.95.186': 1.182}, {'203.215.232.193': 2.033}, {}, {'202.97.39.174': 25.659}, {}, {'61.172.75.177': 25.703}, {'101.95.92.176': 26.859}, {'116.232.0.50': 29.137}]",12,{'101.95.92.176': 26.859},112.491
202.96.197.82,121.620181,31.331877,"[{'30.77.136.193': 0.74}, {}, {}, {'10.196.90.61': 1.44}, {'10.196.95.182': 1.554}, {'203.215.232.193': 1.819}, {'202.97.6.5': 24.708}, {'202.97.39.198': 27.352}, {}, {'101.95.89.37': 27.352}, {}, {'222.72.238.14': 27.352}, {'222.72.116.237': 27.352}, {'222.72.116.238': 27.991}, {'202.96.197.82': 27.991}]",15,{'222.72.116.238': 31.345},195.651
116.236.102.198,121.537784,30.845963,"[{}, {}, {'30.1.148.33': 0.88}, {'10.196.90.85': 1.309}, {'10.196.95.194': 1.309}, {'203.215.232.193': 1.735}, {'59.43.244.225': 3.741}, {}, {'59.43.186.225': 26.245}, {'59.43.130.209': 26.245}, {'101.95.89.73': 26.245}, {'101.95.89.66': 28.565}, {'222.72.238.158': 28.565}, {'116.236.102.197': 28.565}, {'116.236.102.198': 28.565}]",15,{'116.236.102.197': 29.663},201.969
180.160.114.247,121.661403,31.263453,"[{'30.77.136.225': 0.703}, {}, {}, {'10.196.90.85': 1.251}, {'10.200.179.206': 1.251}, {'183.91.43.9': 1.251}, {}, {}, {'202.97.83.90': 25.191}, {'101.95.120.93': 27.155}, {'101.95.95.74': 27.155}, {'124.74.209.34': 27.155}, {'61.152.17.234': 27.155}, {'180.160.114.247': 27.212}]",14,{'61.152.17.234': 27.155},165.47899999999998
116.232.6.247,121.870036,30.983878,"[{}, {'30.77.184.72': 0.719}, {}, {'10.196.90.65': 1.376}, {'10.196.95.190': 1.376}, {'203.215.232.193': 1.598}, {'202.97.6.5': 24.497}, {}, {}, {}, {'101.95.92.175': 26.854}, {'116.232.6.247': 28.996}]",12,{'101.95.92.175': 26.854},85.416
183.194.109.54,121.273766,31.284596,"[{}, {'30.77.184.78': 0.618}, {}, {'10.196.90.77': 0.735}, {'11.50.201.63': 0.735}, {'11.50.201.59': 0.735}, {'223.121.3.29': 1.59}, {'223.120.2.49': 3.603}, {'223.120.3.178': 30.463}, {'221.183.89.170': 30.851}, {'221.183.89.33': 30.851}, {}, {}, {'183.194.121.22': 37.036}, {'183.194.109.54': 37.036}]",15,{'183.194.121.22': 37.679},174.253
116.237.203.74,121.573518,31.140188,"[{}, {}, {}, {'10.196.90.61': 1.264}, {'10.200.179.162': 1.459}, {'183.91.43.9': 1.459}, {'202.97.116.13': 23.808}, {'202.97.90.34': 23.843}, {'202.97.49.33': 23.843}, {'101.95.120.145': 23.843}, {'101.95.92.170': 25.232}, {'116.237.203.74': 25.232}]",12,{'101.95.92.170': 27.349},149.983
116.237.45.150,121.918776,30.908987,"[{}, {}, {}, {'10.196.90.61': 1.369}, {'10.196.95.182': 1.369}, {'203.215.232.193': 1.719}, {}, {}, {'202.97.71.29': 24.452}, {'101.95.120.145': 24.452}, {'101.95.92.231': 24.452}, {'116.237.45.150': 24.452}]",12,{'101.95.92.231': 26.155},102.265
180.158.63.192,121.421581,31.014717,"[{}, {}, {}, {'10.196.90.65': 1.531}, {'10.200.179.138': 1.531}, {'183.91.43.9': 1.531}, {'202.97.116.17': 24.347}, {'202.97.51.242': 24.596}, {'202.97.50.149': 26.112}, {}, {'101.95.92.171': 26.112}, {'180.158.63.192': 26.112}]",12,{'101.95.92.171': 26.777},131.872
116.237.50.200,121.931307,30.927337,"[{}, {}, {}, {'10.196.90.85': 1.014}, {'10.200.179.206': 1.014}, {'183.91.43.9': 1.014}, {'202.97.116.45': 23.378}, {}, {'202.97.83.90': 24.145}, {'101.95.120.45': 24.145}, {'101.95.92.231': 26.507}, {'116.237.50.200': 28.448}]",12,{'101.95.92.231': 26.507},129.665
180.160.116.140,121.6641,31.266923,"[{}, {}, {}, {'10.196.90.73': 1.03}, {'10.200.180.98': 1.03}, {'183.91.43.9': 1.03}, {'202.97.67.197': 24.207}, {}, {'202.97.71.29': 24.367}, {'61.152.26.21': 24.367}, {'101.95.41.106': 25.593}, {'61.152.23.154': 27.05}, {'180.160.116.140': 28.259}]",13,{'61.152.23.154': 27.05},156.933
180.160.115.97,121.66315,31.266104,"[{}, {}, {}, {'10.196.90.73': 0.941}, {'10.200.180.98': 0.941}, {'183.91.43.9': 0.941}, {}, {'202.97.12.209': 25.292}, {'202.97.24.233': 27.119}, {'61.152.25.77': 27.795}, {'124.74.209.34': 28.315}, {'61.152.17.234': 28.315}, {'180.160.115.97': 29.502}]",13,{'61.152.17.234': 28.315},169.161
116.247.110.130,121.440254,31.210957,"[{'30.77.136.193': 0.562}, {}, {}, {'10.196.90.81': 1.172}, {'10.196.95.190': 1.172}, {'203.215.232.193': 1.597}, {'59.43.244.225': 3.154}, {'59.43.248.109': 26.842}, {}, {'59.43.159.17': 27.69}, {'101.95.89.69': 27.69}, {'101.95.89.66': 27.895}, {}, {'116.247.110.129': 29.542}, {'116.247.110.130': 29.542}]",15,{'116.247.110.129': 30.615},176.85799999999998
58.41.10.110,121.538539,31.210841,"[{}, {}, {'30.1.147.37': 0.938}, {'10.196.90.65': 1.592}, {'10.200.179.138': 1.592}, {'183.91.43.9': 1.592}, {}, {}, {'202.97.83.34': 26.478}, {}, {}, {'58.41.10.110': 28.625}]",12,-1,60.817
116.229.153.154,121.264666,31.341298,"[{}, {}, {}, {'10.196.90.89': 0.91}, {'10.200.180.98': 0.91}, {'183.91.43.9': 0.91}, {'202.97.116.13': 21.79}, {'202.97.51.162': 21.79}, {'202.97.50.161': 24.684}, {'61.152.24.85': 27.841}, {'101.95.42.250': 27.841}, {'124.74.149.230': 27.841}, {'116.229.153.154': 105.103}]",13,{'124.74.149.230': 27.841},259.62
139.226.21.199,121.446479,30.94795,"[{}, {'30.77.184.204': 0.866}, {'30.1.148.33': 1.26}, {'10.196.90.89': 1.329}, {'11.50.201.54': 1.329}, {'11.50.201.54': 1.329}, {'61.14.203.57': 6.152}, {}, {'202.77.23.29': 6.405}, {'219.158.3.189': 6.591}, {}, {}, {'219.158.6.233': 29.042}, {}, {'139.226.230.66': 31.256}, {'139.226.21.199': 34.967}]",16,{'139.226.230.66': 31.256},120.526
117.186.224.188,121.468483,31.241837,"[{}, {'30.77.183.196': 0.731}, {}, {'10.196.90.65': 1.135}, {'11.50.201.58': 1.135}, {'11.50.201.58': 1.135}, {'223.121.3.29': 1.657}, {'223.120.3.205': 2.965}, {}, {'221.183.89.174': 30.795}, {'221.183.89.69': 30.795}, {'221.183.89.46': 32.092}, {}, {'183.194.120.10': 35.274}, {'117.186.224.188': 35.274}]",15,{'183.194.120.10': 36.398},172.988
124.77.209.248,121.388705,31.17151,"[{'30.77.136.193': 0.638}, {}, {}, {'10.196.90.77': 1.264}, {'10.200.179.162': 1.264}, {'183.91.43.9': 1.264}, {'202.97.116.41': 25.313}, {}, {}, {'222.72.236.173': 27.677}, {}, {'124.77.0.1': 27.677}, {'124.77.209.248': 27.877}]",13,{'124.77.0.1': 27.677},112.974
180.167.149.2,121.317734,31.207623,"[{}, {}, {}, {'10.196.90.61': 1.384}, {'10.196.95.182': 1.409}, {'203.215.232.193': 1.722}, {'59.43.244.225': 3.426}, {'59.43.249.30': 25.311}, {'59.43.39.97': 26.615}, {'59.43.22.5': 27.62}, {'101.95.88.42': 27.62}, {'101.95.89.62': 28.03}, {'61.129.146.194': 28.03}, {'180.167.149.1': 31.828}, {'180.167.149.2': 32.489}]",15,{'180.167.149.1': 31.828},235.484
180.167.205.58,121.461113,31.233517,"[{}, {}, {}, {'10.196.90.81': 1.136}, {'10.196.95.190': 1.136}, {'203.215.232.193': 1.514}, {'59.43.244.225': 3.302}, {'59.43.188.229': 25.204}, {'59.43.38.157': 26.849}, {'59.43.130.213': 26.956}, {'101.95.89.45': 26.956}, {'101.95.89.34': 27.181}, {'61.129.146.10': 28.226}, {'180.167.205.57': 28.226}, {'180.167.205.58': 28.226}]",15,{'180.167.205.57': 38.927},224.912
