IP,last1_router_ip,last1_delay,last2_router_ip,last2_delay_total,last3_router_ip,last3_delay_total,last4_router_ip,last4_delay_total
116.237.44.101,101.95.92.232,0.0,101.95.120.41,1.6350000000000016,-1,-1,202.97.85.197,1.6350000000000016
180.166.139.214,58.40.145.205,3.027000000000001,-1,-1,61.172.93.246,3.027000000000001,101.95.89.81,3.027000000000001
61.152.163.14,61.152.163.13,4.310000000000002,61.129.146.186,4.310000000000002,101.95.89.54,4.310000000000002,101.95.88.109,4.310000000000002
180.158.24.236,101.95.92.172,1.8790000000000013,-1,-1,202.97.57.26,1.8790000000000013,202.97.12.185,4.397000000000002
117.131.91.242,117.135.43.138,2.1980000000000004,-1,-1,-1,-1,221.183.89.50,4.553999999999995
183.195.196.17,221.183.144.82,0.5769999999999982,-1,-1,-1,-1,221.183.89.170,3.5919999999999987
116.237.217.22,101.95.92.170,1.3739999999999988,61.172.75.13,1.3739999999999988,202.97.62.97,3.661999999999999,202.97.12.209,3.661999999999999
180.161.227.25,101.95.36.14,0.0,124.74.210.54,1.9860000000000007,-1,-1,61.152.25.89,1.9860000000000007
117.185.90.218,117.135.41.114,2.3560000000000016,-1,-1,221.183.89.46,3.8329999999999984,221.183.89.69,5.460000000000001
101.230.223.26,101.95.104.5,0.0,222.72.238.182,5.698999999999998,101.95.89.66,5.698999999999998,101.95.89.73,5.698999999999998
117.186.161.150,120.204.37.2,0.0,183.194.120.153,0.5720000000000027,221.183.144.86,0.5720000000000027,221.183.89.50,1.2680000000000007
114.85.112.199,61.152.9.254,0.6489999999999974,61.152.24.81,0.6489999999999974,202.97.57.26,4.149999999999999,202.97.12.181,5.971999999999998
120.253.184.42,117.135.49.78,2.2269999999999968,-1,-1,-1,-1,221.183.89.33,7.52
101.94.245.82,61.152.21.134,0.3780000000000001,101.95.42.234,0.3780000000000001,101.95.120.101,1.6110000000000007,202.97.83.90,1.6110000000000007
180.166.230.154,180.166.230.153,2.2220000000000013,61.129.146.94,2.2220000000000013,101.95.89.42,4.371000000000002,101.95.89.33,6.631
116.232.0.50,101.95.92.176,2.2779999999999987,61.172.75.177,3.434000000000001,-1,-1,202.97.39.174,3.4780000000000015
202.96.197.82,222.72.116.238,0.0,222.72.116.237,0.6389999999999993,222.72.238.14,0.6389999999999993,-1,-1
116.236.102.198,116.236.102.197,0.0,222.72.238.158,0.0,101.95.89.66,0.0,101.95.89.73,2.3200000000000003
180.160.114.247,61.152.17.234,0.05699999999999861,124.74.209.34,0.05699999999999861,101.95.95.74,0.05699999999999861,101.95.120.93,0.05699999999999861
116.232.6.247,101.95.92.175,2.1419999999999995,-1,-1,-1,-1,-1,-1
183.194.109.54,183.194.121.22,0.0,-1,-1,-1,-1,221.183.89.33,6.185000000000002
116.237.203.74,101.95.92.170,0.0,101.95.120.145,1.3889999999999993,202.97.49.33,1.3889999999999993,202.97.90.34,1.3889999999999993
116.237.45.150,101.95.92.231,0.0,101.95.120.145,0.0,202.97.71.29,0.0,-1,-1
180.158.63.192,101.95.92.171,0.0,-1,-1,202.97.50.149,0.0,202.97.51.242,1.5159999999999982
116.237.50.200,101.95.92.231,1.940999999999999,101.95.120.45,4.303000000000001,202.97.83.90,4.303000000000001,-1,-1
180.160.116.140,61.152.23.154,1.2089999999999996,101.95.41.106,2.6660000000000004,61.152.26.21,3.8919999999999995,202.97.71.29,3.8919999999999995
180.160.115.97,61.152.17.234,1.1869999999999976,124.74.209.34,1.1869999999999976,61.152.25.77,1.7069999999999972,202.97.24.233,2.382999999999999
116.247.110.130,116.247.110.129,0.0,-1,-1,101.95.89.66,1.647000000000002,101.95.89.69,1.8520000000000003
58.41.10.110,-1,-1,-1,-1,202.97.83.34,2.1469999999999985,-1,-1
116.229.153.154,124.74.149.230,77.262,101.95.42.250,77.262,61.152.24.85,77.262,202.97.50.161,80.419
139.226.21.199,139.226.230.66,3.7109999999999985,-1,-1,219.158.6.233,5.924999999999997,-1,-1
117.186.224.188,183.194.120.10,0.0,-1,-1,221.183.89.46,3.182000000000002,221.183.89.69,4.478999999999999
124.77.209.248,124.77.0.1,0.1999999999999993,-1,-1,222.72.236.173,0.1999999999999993,-1,-1
180.167.149.2,180.167.149.1,0.6609999999999978,61.129.146.194,4.458999999999996,101.95.89.62,4.458999999999996,101.95.88.42,4.868999999999996
180.167.205.58,180.167.205.57,0.0,61.129.146.10,0.0,101.95.89.34,1.0449999999999982,101.95.89.45,1.2699999999999996
140.207.175.50,27.115.2.17,0.13700000000000045,-1,-1,-1,-1,-1,-1
218.80.0.118,101.95.92.183,0.0,61.172.67.218,0.0,101.95.89.54,0.0,61.152.24.249,0.0
180.161.128.72,61.152.13.198,2.0139999999999993,124.74.215.138,3.1080000000000005,101.95.95.9,4.271000000000001,61.152.24.121,4.271000000000001
116.236.31.101,116.236.31.97,0.8109999999999999,-1,-1,101.95.89.94,1.7330000000000005,61.172.93.241,4.111000000000001
180.158.162.198,101.95.92.173,3.1350000000000016,61.172.75.213,3.1350000000000016,-1,-1,-1,-1
180.158.60.195,101.95.92.171,1.2340000000000018,-1,-1,202.97.24.217,2.7729999999999997,202.97.12.209,2.7729999999999997
222.72.95.42,222.72.95.41,0.0,61.129.147.58,0.0,61.152.24.109,0.0,-1,-1
221.181.106.49,-1,-1,221.183.89.50,2.6539999999999964,221.183.89.69,3.826999999999998,221.183.89.174,3.826999999999998
116.237.42.27,101.95.92.231,1.2119999999999997,61.172.75.1,2.942,202.97.24.169,2.942,202.97.74.2,4.34
117.184.79.158,120.204.34.62,0.0,221.183.144.74,1.6159999999999997,221.183.89.46,2.4480000000000004,221.183.89.69,4.100000000000001
112.64.108.56,139.226.224.38,0.0,-1,-1,-1,-1,-1,-1
101.94.68.125,61.152.21.30,0.0,61.152.87.158,0.0,-1,-1,-1,-1
180.160.116.189,61.152.23.226,5.065000000000001,61.152.87.214,5.065000000000001,61.152.25.173,5.562000000000001,202.97.48.21,7.285
180.158.27.228,101.95.92.171,2.0619999999999976,-1,-1,202.97.83.14,3.6469999999999985,-1,-1
117.184.178.10,117.135.43.22,0.0,-1,-1,-1,-1,221.183.89.46,0.1600000000000037
116.234.82.1,-1,-1,202.97.50.169,0.45899999999999963,-1,-1,202.97.116.21,0.45899999999999963
180.168.209.226,180.168.209.225,3.080000000000002,-1,-1,101.95.89.58,3.080000000000002,101.95.88.46,5.513000000000002
183.192.154.34,183.194.120.38,0.0,-1,-1,221.183.89.10,0.0,221.183.89.33,4.779
180.161.149.211,101.95.121.14,0.0,101.95.94.6,0.0,61.152.25.77,0.0,202.97.24.197,1.0859999999999985
116.232.3.156,101.95.92.176,1.2360000000000007,61.172.75.169,1.8150000000000013,202.97.67.221,1.8150000000000013,-1,-1
218.83.246.65,124.74.33.70,0.0,101.95.89.54,0.0,61.152.26.85,0.0,-1,-1
180.158.43.200,101.95.92.171,0.0,-1,-1,202.97.62.101,1.0100000000000016,-1,-1
116.237.220.163,101.95.92.169,2.6439999999999984,101.95.120.145,2.6579999999999977,-1,-1,-1,-1
180.161.128.231,124.74.127.206,0.0,124.74.215.18,2.907,-1,-1,202.97.24.249,2.907
101.94.69.149,61.152.21.42,0.12900000000000134,101.95.41.142,0.12900000000000134,-1,-1,61.152.24.89,0.20899999999999963
180.169.217.2,222.72.153.113,0.0,222.72.238.58,0.08200000000000074,101.95.89.42,0.08200000000000074,101.95.89.41,2.6960000000000015
117.186.155.81,-1,-1,221.183.89.14,2.985999999999997,221.183.89.33,4.165999999999997,221.183.89.178,4.165999999999997
116.232.4.70,101.95.92.175,1.7759999999999998,61.172.75.189,1.7759999999999998,202.97.57.234,1.7759999999999998,-1,-1
117.186.15.149,-1,-1,221.183.89.14,2.7349999999999994,221.183.89.33,3.9449999999999967,221.183.89.178,3.9449999999999967
112.64.50.23,139.226.209.62,0.0,-1,-1,-1,-1,-1,-1
180.158.164.195,101.95.92.174,0.0,-1,-1,-1,-1,202.97.51.162,2.571999999999999
117.186.242.198,117.135.41.102,0.4759999999999991,-1,-1,221.183.89.50,3.3160000000000025,221.183.89.69,4.847000000000001
116.229.153.250,124.74.149.230,39.212999999999994,101.95.42.250,42.657999999999994,61.152.24.81,42.657999999999994,202.97.50.165,42.657999999999994
116.237.133.98,101.95.92.167,0.0,61.172.75.5,1.7020000000000017,-1,-1,-1,-1
180.165.67.24,-1,-1,-1,-1,202.97.66.253,0.4289999999999985,-1,-1
124.74.150.114,124.74.150.113,0.0,222.72.238.98,0.0,-1,-1,61.152.26.73,0.0
116.237.111.235,101.95.92.170,1.7100000000000009,101.95.120.41,4.449000000000002,202.97.50.153,4.449000000000002,-1,-1
116.232.86.2,101.95.92.176,0.0,-1,-1,202.97.66.253,0.0,202.97.85.197,0.0
112.64.233.146,139.226.194.170,0.014999999999993463,-1,-1,-1,-1,219.158.3.33,27.623999999999995
183.195.176.225,183.194.120.157,1.1360000000000028,-1,-1,221.183.89.50,3.3569999999999993,221.183.89.69,4.631
116.236.122.42,116.236.122.41,0.0,61.129.147.222,1.3119999999999976,61.172.93.254,4.047999999999998,61.172.93.237,5.478999999999999
180.166.158.14,180.166.158.13,0.0,222.72.238.126,0.0,101.95.89.110,0.0,101.95.88.210,0.0
58.41.21.200,61.172.90.2,3.439,61.152.25.149,3.439,202.97.61.5,3.439,-1,-1
101.94.26.227,101.95.36.138,1.2059999999999995,101.95.94.6,1.2059999999999995,-1,-1,202.97.83.34,3.025000000000002
116.230.251.8,116.230.0.1,0.0,222.72.236.245,3.1960000000000015,202.97.62.25,3.1960000000000015,202.97.33.133,3.1960000000000015
116.232.232.122,101.95.92.173,1.3200000000000003,-1,-1,202.97.24.137,1.3200000000000003,202.97.12.185,5.158000000000001
124.74.97.142,124.74.97.141,0.0,222.72.238.2,0.0,61.152.25.117,0.0,202.97.66.253,0.0
183.195.228.193,-1,-1,221.183.89.10,1.847999999999999,221.183.89.33,3.8619999999999983,221.183.89.178,3.8969999999999985
116.227.70.241,101.95.92.174,0.8519999999999968,61.172.75.169,0.8519999999999968,202.97.57.146,1.154,-1,-1
117.184.163.30,183.194.120.86,0.0,183.194.120.149,0.9889999999999972,-1,-1,221.183.89.50,2.532999999999994
180.166.201.141,218.1.26.233,0.5809999999999995,222.72.238.138,2.905999999999999,-1,-1,101.95.89.113,2.905999999999999
180.161.154.207,124.74.127.154,1.6690000000000005,101.95.94.2,1.7699999999999996,-1,-1,202.97.57.146,2.3469999999999978
116.237.44.97,101.95.92.232,0.35800000000000054,101.95.120.145,1.8880000000000017,-1,-1,-1,-1
124.74.43.74,124.74.43.73,0.0,-1,-1,101.95.120.81,0.0,202.97.57.26,3.3000000000000007
